run_id,run_name,state,created_at,ARC/pass@1,ARC/pass@2,ARC/pass@5,ARC/pass@10,ARC/pass@100,ARC/pass@1000,train/exact_accuracy,_step,_runtime,encoder_type,encoder_num_layers,epochs,global_batch_size,max_eval_groups,max_train_groups,kl_weight
3b9tck29,SF5_standard_baseline,finished,2026-01-14T10:14:31Z,0.0,0.0,0.0,0.0,0.0,0.0,0.02734375,3490,2831.110492755,standard,2.0,1000,256,8,,0.0
xvzbsec6,SF6_standard_explore0.7,finished,2026-01-14T11:02:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.04296875,3490,2834.140843806,standard,2.0,1000,256,8,,0.0
nu8b6dkb,SF1_hybrid_std_baseline,finished,2026-01-14T11:49:31Z,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,6967,4639.213070416,hybrid_standard,4.0,1000,128,8,,0.0
oni0gge0,SF2_hybrid_std_explore0.7,finished,2026-01-14T13:07:33Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,6967,4634.511216166,hybrid_standard,4.0,1000,128,8,,0.0
c9cbqc8w,SF3_hybrid_var_baseline,finished,2026-01-14T14:25:30Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6967,4643.962883955,hybrid_variational,4.0,1000,128,8,,0.0
2usvizbf,SF4_hybrid_var_explore0.7,finished,2026-01-14T15:43:16Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6967,4638.011130671,hybrid_variational,4.0,1000,128,8,,0.0
nebnuril,trm_baseline,killed,2026-01-14T18:28:35Z,,,,,,,0.0,1036,2079.005459103,unknown,,1000,768,8,,
18u0zjtb,SF1_hybrid_std_baseline,finished,2026-01-14T19:12:16Z,0.005,0.0075,0.01,0.01,0.0175,0.0175,0.375,6970,5346.757126618,hybrid_standard,4.0,1000,128,32,,0.0
1u1bztfz,SF5_standard_baseline,finished,2026-01-14T20:41:52Z,0.01,0.01,0.015,0.015,0.02125,0.02625,0.43359375,3492,3286.608697224,standard,2.0,1000,256,32,,0.0
j8rp0wn0,SF3_hybrid_var_baseline,finished,2026-01-14T21:37:29Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,6970,5353.138789551,hybrid_variational,4.0,1000,128,32,,0.0
u7xq5r45,SF3_hybrid_var,finished,2026-01-15T09:02:47Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,6970,5344.452629955,hybrid_variational,4.0,1000,128,32,,0.0001
f7hureg1,SF3_hybrid_var_kl_3,finished,2026-01-15T12:07:29Z,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,6970,5336.39789054,hybrid_variational,4.0,1000,128,32,,0.001
qufhtwfa,SF3_hybrid_var_kl_2,finished,2026-01-15T13:36:53Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,6970,5355.554766688,hybrid_variational,4.0,1000,128,32,,0.01
6z268i19,LPN1_paper_std,killed,2026-01-15T18:11:09Z,,,,,,,0.02734375,704,2634.093229275,lpn,2.0,1000,256,32,,0.0001
tg20gfe6,LPN2_paper_var,finished,2026-01-15T18:55:45Z,0.0075,0.0075,0.0075,0.01,0.0125,0.0125,0.12109375,1746,7379.405280999,lpn_var,2.0,500,256,32,,0.0001
22jfgstb,LPN3_deep_std,finished,2026-01-16T23:28:42Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6941,4861.468488877,lpn_standard,8.0,500,64,32,,0.0001
088141iz,LPN4_deep_var,finished,2026-01-17T00:50:03Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6941,4806.017244346,lpn_variational,8.0,500,64,32,,0.0001
