name,display_name,state,created_at,duration_hrs,steps,train_exact_acc,encoder_var,grad_encoder,train_acc,train_steps,q_halt_acc,lm_loss,q_halt_loss,grad_inner,grad_total,encoder_mean,encoder_std,encoder_norm,encoder_token_std,eval_exact_acc,eval_acc,arc_pass1,arc_pass2,arc_pass10,arc_pass1000,encoder_type,encoder_layers,halt_max_steps,halt_explore_prob,lr,batch_size,health,grad_enc_ratio,grad_dec_ratio
E3b_maxsteps32,E3b_maxsteps32,running,2026-01-11T10:12:57Z,3.6165450388194444,1249,28.125,0.1484375,0.5374815464019775,89.36004936695099,11.46875,94.53125,0.24872326128522904,0.11917044036090374,0.8432754874229431,1.0,-0.05126953125,1.0,22.625,0.373046875,,,0.0,0.0,0.25,0.25,standard,2,32,0.5,,256,⚠️ Warning,0.5374815464019775,0.8432754874229431
E3a_maxsteps8,E3a_maxsteps8,finished,2026-01-11T07:45:21Z,2.4547224015825,2500,49.609375,0.375,0.09512307494878768,93.66166889667512,2.99609375,93.75,0.11996070370423584,0.19477492198348045,0.23572425544261932,0.2541934847831726,0.003509521484375,1.0,22.625,0.6015625,,,0.0,0.25,0.5,0.75,standard,2,8,0.5,,256,⚠️ Warning,0.37421523620059655,0.927341846088984
E1d_explore0.7,E1d_explore0.7,finished,2026-01-11T03:27:42Z,4.288775027266111,2500,48.4375,0.416015625,0.4143495261669159,93.588025867939,5.54296875,92.1875,0.18688723960051468,0.1771657671779394,0.9101179242134094,1.0,-0.061279296875,1.0,22.625,0.6328125,,,0.25,0.25,0.75,1.7500000000000002,standard,2,16,0.7,,256,✅ Healthy,0.4143495261669159,0.9101179242134094
E1c_explore0.0,E1c_explore0.0,finished,2026-01-10T23:09:45Z,4.293629200211389,2500,41.015625,0.2431640625,0.24366627633571625,92.96839982271194,5.21875,92.1875,0.1670954168064685,0.22064220160245895,0.9698582291603088,0.9999991059303284,0.02197265625,1.0,22.625,0.482421875,,,0.25,0.25,0.25,1.0,standard,2,16,0.0,,256,✅ Healthy,0.2436664941905387,0.9698590962819126
E1b_explore0.3,E1b_explore0.3,finished,2026-01-10T18:51:41Z,4.295770038295833,2500,37.109375,0.337890625,0.4137200713157654,93.143492937088,5.4375,90.625,0.1551355361322148,0.19793501310050488,0.91040301322937,0.999998927116394,-0.03369140625,1.0,22.625,0.57421875,,,0.25,0.5,0.5,1.25,standard,2,16,0.3,,256,✅ Healthy,0.4137205151897236,0.9104039899868857
E2c_hybrid_standard,E2c_hybrid_standard,finished,2026-01-10T12:08:51Z,6.708823642538333,5000,29.6875,1.6953125,0.263671875,96.43752127885818,5.1796875,89.0625,0.10388196599128267,0.2749948240816593,0.7198309302330017,0.765625,-0.05908203125,2.09375,47.25,1.28125,,,0.0,0.0,0.0,0.0,hybrid_standard,4,16,0.5,,128,✅ Healthy,0.34438775510204084,0.9401873374471859
E2b_lpn_variational,E2b_lpn_variational,finished,2026-01-10T03:08:01Z,9.008708870846666,5000,23.4375,1.75,0.07275390625,90.56582748889925,6.234375,96.09375,0.2149274118550867,0.1373955011367798,0.3036920130252838,0.3125,-0.04541015625,2.875,64.5,1.296875,,,0.0,0.0,0.0,0.0,lpn_variational,6,16,0.5,,128,⚠️ Warning,0.2328125,0.9718144416809082
E1a_baseline,E1a_baseline,finished,2026-01-09T22:49:18Z,4.306913492820556,2500,23.828125,0.1279296875,0.2005031406879425,85.52965819835663,6.16015625,96.875,0.34695774495086296,0.10908672027289867,0.9796930551528932,0.9999999403953552,-0.058837890625,1.0,22.625,0.345703125,,,0.25,0.25,0.75,1.5,standard,2,16,0.5,,256,⚠️ Warning,0.2005031526388617,0.9796931135471532
E2a_variational,E2a_variational,finished,2026-01-09T16:05:19Z,6.727637432380833,5000,19.53125,2.453125,0.2421875,89.2421618103981,6.9765625,89.0625,0.247132141336432,0.238526351749897,0.9700573682785034,0.99609375,-0.00506591796875,4.0,90.0,1.515625,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.5,,128,✅ Healthy,0.24313725490196078,0.9738615148207721
